price,m2_price,square,rooms,district,micro_district,building_type,floor,floors,condition,building_age,floor_to_floors,is_good_floor
53168,765,70,2,1,0,1,14,14,2,3,1.0,0
119600,1150,104,3,1,0,1,4,14,2,3,0.2857142857142857,1
148840,1220,122,3,1,0,2,6,12,0,4,0.5,1
40000,1212,33,1,1,2,1,4,4,4,4,1.0,0
95160,1220,78,2,1,0,1,5,18,2,0,0.2777777777777778,1
51415,910,56,2,2,2,1,4,11,2,9,0.36363636363636365,1
65108,820,79,2,1,0,1,4,12,2,4,0.3333333333333333,1
110000,880,125,3,1,0,1,11,12,2,6,0.9166666666666666,0
87550,850,103,3,1,4,1,3,12,2,3,0.25,1
76000,950,80,2,1,0,1,11,12,2,4,0.9166666666666666,0
15500,969,16,1,1,3,2,3,4,6,4,0.75,0
72240,840,86,2,1,0,2,4,12,2,4,0.3333333333333333,1
148840,1220,122,3,1,0,2,4,12,0,4,0.3333333333333333,1
37500,798,47,1,1,1,1,2,12,2,4,0.16666666666666666,1
101250,750,135,3,1,0,1,7,14,2,3,0.5,1
67500,1125,60,3,2,2,1,2,10,6,6,0.2,1
58500,1245,47,2,1,0,2,3,10,2,3,0.3,1
40000,1212,33,1,1,2,2,4,4,5,4,1.0,0
73500,919,80,2,2,1,2,3,10,6,6,0.3,1
55500,1261,44,1,1,2,1,10,13,5,4,0.7692307692307693,0
83000,1092,76,2,0,3,1,8,10,5,7,0.8,0
80000,1143,70,2,1,3,1,8,10,5,12,0.8,0
60000,857,70,3,2,2,2,6,6,5,6,1.0,0
25500,593,43,1,3,0,1,5,5,5,2,1.0,0
62500,1420,44,2,3,0,1,8,10,5,5,0.8,0
52700,850,62,2,2,1,1,9,14,5,6,0.6428571428571429,0
70500,1102,64,2,2,2,1,7,10,5,6,0.7,0
106000,1029,103,3,1,0,1,11,16,2,2,0.6875,0
89500,810,110,3,1,0,1,6,14,2,3,0.42857142857142855,1
54500,781,70,2,1,0,1,14,14,2,3,1.0,0
98400,820,120,3,1,0,1,8,8,2,3,1.0,0
105000,1129,93,3,3,4,1,9,10,5,11,0.9,0
81000,818,99,3,2,2,1,3,14,2,2,0.21428571428571427,1
34600,844,41,1,3,0,2,5,9,2,3,0.5555555555555556,0
67000,838,80,3,0,1,2,10,10,2,3,1.0,0
45000,1023,44,1,1,2,0,7,9,5,4,0.7777777777777778,0
109000,1019,107,3,1,2,2,7,8,6,4,0.875,0
37500,815,46,1,1,1,1,2,10,2,4,0.2,1
58000,1349,43,2,2,4,2,1,5,6,6,0.2,0
44500,1112,40,1,0,3,1,10,10,6,7,1.0,0
51000,1186,43,1,1,0,1,4,12,6,3,0.3333333333333333,1
145000,1051,138,3,3,4,1,8,13,6,8,0.6153846153846154,0
82410,670,123,3,1,0,1,13,14,0,4,0.9285714285714286,0
85000,1214,70,2,3,1,1,7,9,6,11,0.7777777777777778,0
83000,1092,76,2,0,3,1,8,10,5,7,0.8,0
46000,1070,43,2,3,2,2,3,3,6,7,1.0,0
60000,882,68,2,1,0,0,5,9,5,4,0.5555555555555556,0
60000,1277,47,2,1,0,1,3,14,2,3,0.21428571428571427,1
64000,1000,64,2,1,0,1,9,12,6,4,0.75,0
73000,1197,61,2,3,1,1,3,10,6,9,0.3,1
140000,1129,124,4,2,4,1,12,14,6,6,0.8571428571428571,0
127000,1270,100,4,2,4,2,5,9,4,9,0.5555555555555556,0
63000,1212,52,2,1,2,0,7,9,5,4,0.7777777777777778,0
80500,856,94,2,1,3,2,9,10,5,13,0.9,0
113000,1009,112,3,3,4,2,6,9,6,8,0.6666666666666666,0
82000,1025,80,3,1,2,0,2,9,5,4,0.2222222222222222,1
87500,1042,84,2,1,2,1,5,12,5,8,0.4166666666666667,1
62500,1025,61,3,0,2,2,5,5,4,7,1.0,0
46500,1134,41,2,1,0,1,3,5,6,4,0.6,0
138500,989,140,3,1,2,1,3,6,6,12,0.5,1
68500,1022,67,2,1,0,1,4,12,2,3,0.3333333333333333,1
128000,977,131,3,3,1,2,10,11,5,7,0.9090909090909091,0
48000,857,56,1,1,0,1,4,9,2,3,0.4444444444444444,1
63000,1370,46,1,1,0,1,8,12,5,6,0.6666666666666666,0
72500,1007,72,3,1,2,0,2,5,5,4,0.4,1
66000,825,80,2,0,2,1,9,10,6,7,0.9,0
